ID,YEAR,d15N,d13C,d2H,d18O,ZONE,Sex,Latitude,Longitude,Delete2
1,2015,20.1,-18.5,-6.24,8.024,WH,0,58.4,-93.053,1
2,2015,19.7,-18.4,-55.81,8.713,WH,0,58.18,-93.693,0
3,2015,20.1,-18.1,-58.11,8.712,WH,0,57.81,-93.803,0
4,1997,19.3,-17.9,NA,NA,LS,0,72.72,-96.268,0
5,2015,20,-17.9,-66.83,7.64,WH,1,58.5,-93.114,0
6,1991,20.2,-16.6,-77.21,9.86,LS,0,73.13,-90,0
7,1991,20.5,-16.5,-86,5.62,LS,1,74.93,-97.55,0
8,1991,20.7,-16.5,-72,7.48,LS,0,74.93,-97.55,0
9,2008,20.8,-16.1,-86.8,NA,FB,1,66.42,-85.3025,0
10,1992,20.1,-15.9,-96.62,8.29,BB,0,72.02,-73.433,0
11,1997,19.4,-15.9,-92.71,6.87,LS,1,73.05,-91.069,0
12,1997,19.9,-15.5,NA,NA,LS,0,72.67,-90.844,0
13,2008,21,-15.2,-79.7,NA,FB,1,65.85,-84.0824,0
14,2005,16.4,-18.9,-86.6,8.3,WH,0,58.3,-93.3,1
15,2007,17.6,-18,-63,7.4,WH,0,58.6,-93.1,0
16,2007,18.8,-17.7,-73,7.3,WH,0,58.6,-93.2,0
17,2007,19.1,-17.7,-7.6,6.6,WH,0,58.6,-93.2,1
18,2007,18.8,-17.6,-62.3,8,WH,1,58.4,-93.1,0
19,2006,19.3,-17.5,-72.4,8,WH,1,58.4,-93.1,0
20,2005,19.6,-17.1,-69,8.8,WH,0,58.3,-93,0
21,2006,19.5,-16.9,-65.2,7.1,WH,0,58.3,-94.7,0
22,2007,19.9,-16.9,-63.8,6.9,WH,0,58.6,-93.1,0
23,2007,20,-16.8,-65.2,6.3,WH,1,58.6,-93.1,0
24,1992,17.6,-16.2,-81.97,7.48,BB,0,67.58,-63.933,0
25,1997,19.6,-16,-79.66,6.45,BB,1,73.48,-80.722,0
26,1991,17.3,-15.6,-60.43,6.04,BB,1,69.93,-67.317,0
27,1992,19.7,-15.4,-77.43,2.95,BB,0,72.3,-73.117,0
28,2005,18.5,-15,-60.46,9.75,DS,1,61.61,-64.753,0
29,2005,18.3,-14.8,NA,NA,DS,0,61.56,-65.3683,0
30,2005,18.9,-14.4,-61.21,9.557,DS,0,60.66,-64.7595,0
31,1991,19.1,-17.7,-112.79,4.13,VM,1,72.97,-110.517,0
32,2015,17.2,-19.4,-76.24,6.735,WH,0,58.26,-93.327,1
33,2017,20.99,-18.72,NA,NA,SB,1,70.09,124.18,0
34,2007,18,-18.6,-61,6.1,WH,0,58,-93.3,0
35,2017,21.09,-18.36,NA,NA,SB,1,70.27,124.48,0
36,2015,19.2,-18.3,-56.11,9.389,WH,0,57.8,-93.783,0
37,2006,16.5,-18.2,-63.9,8.2,WH,0,58,-93.4,1
38,2015,18.8,-18.2,-4.6,9.825,WH,0,58.32,-93.325,1
39,2015,20.2,-18.2,-63.91,8.274,WH,0,58.77,-93.246,0
40,2015,19.9,-18.1,-42.31,8.097,WH,0,58.29,-93.283,0
41,2015,20,-18.1,NA,NA,WH,0,58.32,-93.734,0
42,2015,20.4,-18.1,-56.49,7.662,WH,0,58.38,-93.395,0
